                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90989,                0.93757,                 1.1631,                 0.7857,                0.79266,                0.84123,                0.66229,                0.72937,                0.72436,                 1.0181,                 0.0066,                 0.0066,                 0.0066
                     36,                0.89989,                0.93355,                 1.1582,                0.79081,                0.78989,                 0.8418,                0.66306,                0.72771,                0.72118,                 1.0173,                 0.0065,                 0.0065,                 0.0065
                     37,                0.89899,                0.92453,                  1.155,                0.79325,                0.79136,                0.84219,                0.66469,                0.72638,                0.71867,                 1.0163,                 0.0064,                 0.0064,                 0.0064
                     38,                0.90055,                 0.9259,                 1.1565,                0.78873,                0.79197,                0.84221,                0.66509,                0.72502,                  0.718,                 1.0152,                 0.0063,                 0.0063,                 0.0063
                     39,                0.89454,                0.92041,                 1.1514,                0.79348,                0.78603,                0.84273,                0.66567,                0.72403,                0.71725,                 1.0141,                 0.0062,                 0.0062,                 0.0062
                     40,                0.88807,                0.90924,                 1.1482,                 0.7887,                0.79109,                0.84277,                0.66587,                0.72271,                0.71583,                 1.0133,                 0.0061,                 0.0061,                 0.0061
                     41,                0.88527,                0.90883,                  1.148,                0.78487,                0.79469,                0.84312,                 0.6664,                0.72185,                0.71513,                 1.0127,                  0.006,                  0.006,                  0.006
                     42,                0.87968,                 0.9024,                 1.1433,                0.78909,                0.79218,                0.84326,                0.66661,                0.72218,                0.71408,                 1.0131,                 0.0059,                 0.0059,                 0.0059
                     43,                0.88361,                0.90629,                 1.1451,                0.79378,                0.78844,                0.84355,                  0.667,                0.72141,                0.71277,                 1.0126,                 0.0058,                 0.0058,                 0.0058
                     44,                0.87657,                0.89794,                 1.1393,                0.79634,                0.78482,                0.84411,                0.66819,                0.72059,                  0.711,                 1.0128,                 0.0057,                 0.0057,                 0.0057
                     45,                0.87985,                 0.8973,                 1.1419,                0.79535,                0.78578,                0.84439,                0.66843,                0.71952,                 0.7097,                 1.0118,                 0.0056,                 0.0056,                 0.0056
                     46,                0.87772,                0.89488,                 1.1403,                0.79592,                0.78619,                0.84448,                0.66944,                0.71858,                0.70851,                 1.0112,                 0.0055,                 0.0055,                 0.0055
                     47,                0.87129,                0.89177,                 1.1381,                0.79637,                0.78598,                0.84451,                0.66904,                 0.7174,                0.70714,                 1.0102,                 0.0054,                 0.0054,                 0.0054
                     48,                0.87005,                0.88442,                 1.1363,                0.79389,                0.78741,                0.84466,                0.66975,                0.71746,                0.70632,                 1.0104,                 0.0053,                 0.0053,                 0.0053
                     49,                0.86571,                0.88354,                 1.1366,                0.79855,                0.78563,                0.84478,                0.67022,                0.71703,                0.70499,                 1.0102,                 0.0052,                 0.0052,                 0.0052
                     50,                0.86108,                0.88025,                 1.1335,                 0.7966,                0.78766,                0.84508,                0.67106,                0.71663,                0.70432,                 1.0096,                 0.0051,                 0.0051,                 0.0051
                     51,                0.85909,                0.87083,                  1.131,                0.79789,                0.78779,                0.84584,                0.67176,                0.71616,                0.70354,                 1.0091,                  0.005,                  0.005,                  0.005
                     52,                0.85656,                0.87104,                  1.129,                0.79842,                 0.7888,                0.84602,                0.67181,                0.71487,                0.70254,                 1.0081,                 0.0049,                 0.0049,                 0.0049
                     53,                 0.8538,                 0.8711,                 1.1279,                0.79718,                 0.7905,                0.84627,                0.67212,                0.71427,                0.70137,                 1.0076,                 0.0048,                 0.0048,                 0.0048
                     54,                0.85616,                0.87524,                 1.1269,                0.80047,                0.78918,                0.84709,                0.67244,                0.71356,                0.70063,                 1.0071,                 0.0047,                 0.0047,                 0.0047
                     55,                0.85183,                0.86533,                 1.1251,                0.79689,                 0.7933,                0.84746,                0.67267,                0.71289,                0.69999,                 1.0066,                 0.0046,                 0.0046,                 0.0046
                     56,                0.84893,                0.86087,                 1.1223,                 0.7962,                0.79294,                0.84723,                0.67292,                0.71228,                0.69874,                 1.0061,                 0.0045,                 0.0045,                 0.0045
                     57,                0.84705,                0.86067,                 1.1237,                0.79539,                0.79311,                0.84653,                0.67294,                0.71165,                0.69776,                 1.0055,                 0.0044,                 0.0044,                 0.0044
                     58,                0.84157,                0.85412,                 1.1203,                0.79544,                0.79412,                0.84665,                0.67321,                0.71149,                0.69728,                 1.0053,                 0.0043,                 0.0043,                 0.0043
                     59,                0.83816,                0.84394,                 1.1174,                0.79612,                0.79497,                0.84732,                0.67438,                0.71102,                0.69677,                  1.005,                 0.0042,                 0.0042,                 0.0042
                     60,                0.83424,                0.84304,                 1.1165,                0.79614,                0.79596,                0.84764,                0.67495,                0.71038,                 0.6955,                 1.0043,                 0.0041,                 0.0041,                 0.0041
                     61,                0.83371,                0.84204,                 1.1153,                 0.7977,                0.79476,                0.84791,                0.67532,                0.70977,                0.69476,                 1.0039,                  0.004,                  0.004,                  0.004
                     62,                0.83102,                0.83809,                 1.1146,                  0.798,                0.79554,                 0.8483,                0.67593,                 0.7094,                0.69404,                 1.0034,                 0.0039,                 0.0039,                 0.0039
                     63,                0.83292,                0.83936,                 1.1124,                0.79987,                0.79334,                0.84861,                0.67645,                0.70847,                0.69311,                 1.0027,                 0.0038,                 0.0038,                 0.0038
                     64,                  0.831,                0.83776,                 1.1124,                0.80087,                0.79091,                0.84891,                0.67656,                0.70807,                0.69223,                 1.0024,                 0.0037,                 0.0037,                 0.0037
                     65,                0.82195,                0.82779,                 1.1091,                0.80073,                0.79207,                0.84931,                0.67665,                0.70768,                0.69132,                 1.0021,                 0.0036,                 0.0036,                 0.0036
                     66,                0.81646,                0.82441,                 1.1074,                0.79624,                0.79724,                0.84935,                0.67651,                0.70747,                0.69091,                 1.0017,                 0.0035,                 0.0035,                 0.0035
                     67,                0.81805,                0.82192,                 1.1068,                 0.7942,                0.79908,                0.85028,                0.67764,                 0.7069,                0.68942,                 1.0013,                 0.0034,                 0.0034,                 0.0034
                     68,                0.81499,                0.82258,                 1.1052,                0.80065,                0.79557,                 0.8503,                0.67804,                0.70665,                0.68837,                 1.0011,                 0.0033,                 0.0033,                 0.0033
                     69,                0.81568,                0.81585,                 1.1035,                0.79833,                0.79718,                0.85059,                0.67845,                0.70656,                0.68735,                 1.0012,                 0.0032,                 0.0032,                 0.0032
                     70,                 0.8072,                0.81407,                 1.1002,                0.80154,                0.79598,                0.85075,                0.67862,                0.70593,                0.68647,                 1.0004,                 0.0031,                 0.0031,                 0.0031
                     71,                0.80616,                 0.8084,                 1.0974,                0.80448,                0.79415,                0.85128,                0.67915,                0.70529,                0.68548,                0.99982,                  0.003,                  0.003,                  0.003
                     72,                0.80525,                0.80698,                 1.0992,                 0.7999,                0.79679,                0.85102,                0.67994,                0.70484,                0.68477,                0.99942,                 0.0029,                 0.0029,                 0.0029
                     73,                0.80196,                0.79894,                 1.0941,                0.79989,                0.79781,                0.85123,                0.67995,                0.70427,                0.68367,                0.99901,                 0.0028,                 0.0028,                 0.0028
                     74,                0.79492,                0.80241,                 1.0965,                 0.7992,                0.79989,                0.85161,                0.68007,                0.70364,                0.68284,                0.99866,                 0.0027,                 0.0027,                 0.0027
                     75,                0.80039,                0.79591,                 1.0931,                 0.7955,                0.80467,                0.85175,                0.68063,                0.70308,                0.68172,                0.99814,                 0.0026,                 0.0026,                 0.0026
